id,px,py,pz,length
367,33.221,17.746,-8.063,1.110
368,34.021,17.746,-8.077,0.904
369,34.821,17.746,-8.068,0.814
370,35.621,17.746,-8.044,0.869
371,36.421,17.746,-8.023,0.958
372,37.221,17.746,-8.026,0.995
373,38.021,17.746,-8.061,0.874
374,38.821,17.746,-8.116,0.773
375,39.621,17.746,-8.168,0.694
376,40.421,17.746,-8.204,0.370
377,47.621,17.746,-8.213,0.706
378,48.421,17.746,-8.252,1.198
379,49.221,17.746,-8.279,1.616
380,50.021,17.746,-8.292,1.708
381,50.821,17.746,-8.298,1.627
382,51.621,17.746,-8.301,1.522
383,52.421,17.746,-8.306,1.484
384,53.221,17.746,-8.308,1.468
385,54.021,17.746,-8.303,1.361
386,54.821,17.746,-8.302,0.987
387,55.621,17.746,-8.297,0.824
388,56.421,17.746,-8.279,0.780
389,57.221,17.746,-8.249,0.701
390,58.021,17.746,-8.162,0.543
391,58.821,17.746,-8.076,0.418
392,59.621,17.746,-8.119,0.568
393,60.421,17.746,-8.197,0.842
394,61.221,17.746,-8.233,0.995
395,62.021,17.746,-8.232,1.076
396,62.821,17.746,-8.198,1.133
397,63.621,17.746,-8.166,1.138
398,64.421,17.746,-8.140,0.987
399,65.221,17.746,-8.121,0.778
400,68.421,17.746,-8.230,0.703
401,69.221,17.746,-8.229,0.749
402,70.021,17.746,-8.227,0.716
403,70.821,17.746,-8.223,0.631
404,71.621,17.746,-8.218,0.476
405,-1.579,18.546,-7.538,0.300
406,-0.779,18.546,-7.506,0.300
407,0.021,18.546,-7.559,0.326
408,0.821,18.546,-7.747,0.497
409,1.621,18.546,-7.846,0.568
410,2.421,18.546,-7.879,0.593
411,3.221,18.546,-7.885,0.610
412,4.021,18.546,-7.870,0.625
413,4.821,18.546,-7.849,0.632
414,5.621,18.546,-7.837,0.666
415,6.421,18.546,-7.835,0.725
416,7.221,18.546,-7.833,0.778
417,8.021,18.546,-7.815,0.842
418,8.821,18.546,-7.784,0.899
419,9.621,18.546,-7.753,0.938
420,10.421,18.546,-7.707,0.948
421,11.221,18.546,-7.607,0.776
422,12.821,18.546,-7.386,0.300
423,13.621,18.546,-7.441,0.312
424,14.421,18.546,-7.575,0.544
425,15.221,18.546,-7.735,0.881
426,16.021,18.546,-7.856,1.194
427,16.821,18.546,-7.877,1.363
428,17.621,18.546,-7.882,1.439
429,18.421,18.546,-7.891,1.476
430,19.221,18.546,-7.923,1.526
431,20.021,18.546,-7.961,1.573
432,20.821,18.546,-7.967,1.585
433,21.621,18.546,-7.952,1.576
434,22.421,18.546,-8.008,1.635
435,23.221,18.546,-7.918,1.465
436,24.021,18.546,-7.914,1.289
437,24.821,18.546,-7.908,1.007
438,25.621,18.546,-7.940,0.806
439,29.621,18.546,-7.927,1.618
440,30.421,18.546,-7.945,1.644
441,31.221,18.546,-7.954,1.569
442,32.021,18.546,-7.997,1.474
443,32.821,18.546,-8.056,1.339
444,33.621,18.546,-8.100,1.133
445,34.421,18.546,-8.118,0.909
446,35.221,18.546,-8.112,0.826
447,36.021,18.546,-8.092,0.905
448,36.821,18.546,-8.073,0.976
449,37.621,18.546,-8.072,0.887
450,38.421,18.546,-8.090,0.767
451,39.221,18.546,-8.141,0.663
452,40.021,18.546,-8.195,0.363
453,44.021,18.546,-8.232,0.300
454,47.221,18.546,-8.206,0.329
455,48.021,18.546,-8.234,0.957
456,48.821,18.546,-8.260,1.407
457,49.621,18.546,-8.280,1.703
458,50.421,18.546,-8.294,1.704
459,51.221,18.546,-8.303,1.604
460,52.021,18.546,-8.309,1.541
461,52.821,18.546,-8.309,1.518
462,53.621,18.546,-8.300,1.475
463,54.421,18.546,-8.296,1.271
464,55.221,18.546,-8.287,0.943
465,56.021,18.546,-8.256,0.800
466,56.821,18.546,-8.224,0.727
467,57.621,18.546,-8.201,0.648
468,58.421,18.546,-8.188,0.588
469,59.221,18.546,-8.193,0.612
470,60.021,18.546,-8.211,0.792
471,60.821,18.546,-8.227,0.982
472,61.621,18.546,-8.240,1.091
473,62.421,18.546,-8.214,1.154
474,64.021,18.546,-8.170,1.075
475,64.821,18.546,-8.164,0.887
